AssetTag,Serial,NodeName,Model,WarrantyDate,Processor,DecomDate,TouchedBy
A1706,MJ04SGSU,GVALENTINE-D,ThinkCentre M900,,Intel64 Family 6 Model 94 Stepping 3,9/28/2022 14:18,:defaultuser0:gvalentine:Public:scrockett:
ASSET-1013,MJ0HQ1M2,HWILLS-L,ThinkPad T14s Gen 2i,,Intel64 Family 6 Model 140 Stepping 1,10/3/2022 14:18,:gvalentine:hwills:mpenngrath:Public:Scrockett:Temp:
,MJ0DDXB3,NMOHANTY-L,ThinkPad X390,,Intel64 Family 6 Model 142 Stepping 12,10/3/2022 18:40,:achristianson:gvalentine:nmohanty:Public:scrockett:twang:
A1772,PC11CC0P,MSEARL-L,ThinkPad T480s,,Intel64 Family 6 Model 142 Stepping 10,10/4/2022 13:45,:achristianson:ewright:jdarsey:mmaurice:Public:rearl:scrockett:spatel:yyosief:
A1961,PC18YAGC,LZAPATKA-L,ThinkPad T490s,,Intel64 Family 6 Model 142 Stepping 11,10/5/2022 15:54,:achristianson:gvalentine:lzapatka:mmaurice:mpenngrath:Public:Scrockett:twang:yyosief:
A3006,PF27PFLH,GVALENTINE-L,ThinkPad T14s Gen 1,3/6/2024 0:00,Intel64 Family 6 Model 142 Stepping 12,10/5/2022 18:00,:achristianson:alc:ccamp:DefaultAppPool:ediaz:gvalentine:heave:Jackal:jdarsey:MMaurice:NinjaAdmin:Public:rlugo:rmaclang:scrockett:Temp:twang:twang.SFAF:yyosief:
A3006,PF27PFLH,GVALENTINE-L,ThinkPad T14s Gen 1,3/6/2024 0:00,Intel64 Family 6 Model 142 Stepping 12,10/5/2022 18:52,:achristianson:alc:ccamp:DefaultAppPool:ediaz:gvalentine:heave:Jackal:jdarsey:MMaurice:NinjaAdmin:Public:rlugo:rmaclang:scrockett:Temp:twang:twang.SFAF:yyosief:
A3006,PF27PFLH,GVALENTINE-L,ThinkPad T14s Gen 1,3/6/2024 0:00,Intel64 Family 6 Model 142 Stepping 12,10/5/2022 18:54,:achristianson:alc:ccamp:DefaultAppPool:ediaz:gvalentine:heave:Jackal:jdarsey:MMaurice:NinjaAdmin:Public:rlugo:rmaclang:scrockett:Temp:twang:twang.SFAF:yyosief:
A3006,PF27PFLH,GVALENTINE-L,ThinkPad T14s Gen 1,3/6/2024 0:00,Intel64 Family 6 Model 142 Stepping 12,10/5/2022 18:54,:achristianson:alc:ccamp:DefaultAppPool:ediaz:gvalentine:heave:Jackal:jdarsey:MMaurice:NinjaAdmin:Public:rlugo:rmaclang:scrockett:Temp:twang:twang.SFAF:yyosief:
A3006,PF27PFLH,GVALENTINE-L,ThinkPad T14s Gen 1,3/6/2024 0:00,Intel64 Family 6 Model 142 Stepping 12,10/5/2022 18:54,:achristianson:alc:ccamp:DefaultAppPool:ediaz:gvalentine:heave:Jackal:jdarsey:MMaurice:NinjaAdmin:Public:rlugo:rmaclang:scrockett:Temp:twang:twang.SFAF:yyosief:
A2036,PF27MVM5,SRODRIGUEZ-L,ThinkPad T14s Gen 1,,Intel64 Family 6 Model 142 Stepping 12,10/6/2022 15:21,:ang:cchichian:gvalentine:kkaneko:ngonzalez:Public:scrockett:srodriguez:Temp:twang:yyosief:
A1974,PC19PG14,470-ADELABRA-L,ThinkPad X390,,Intel64 Family 6 Model 142 Stepping 12,10/6/2022 18:02,:achristianson:adelabra:Administrator:ang:gvalentine:mmaurice:Public:scrockett:Temp:yyosief:
A1729,MJ05NAKJ,RHILL-D,ThinkCentre M910q,,Intel64 Family 6 Model 158 Stepping 9,10/7/2022 10:03,:defaultuser0:gvalentine:mmaurice:Public:rhill:scrockett:yyosief:
A1942,PF1NB0QG,MLEE-L,ThinkPad X390,,Intel64 Family 6 Model 142 Stepping 11,10/11/2022 14:02,:mlee:MPENNGRATH:Public:Scrockett:Temp:
A1752,PC0R8S2Z,PPEREZ-L,ThinkPad T470s,,Intel64 Family 6 Model 142 Stepping 9,10/18/2022 13:32,:achristianson:gvalentine:jdarsey:klindsay:msmith:NinjaAdmin:pperez:Public:scrockett:yyosief:
A1996,PF1QK90S,BFALLEY-L,ThinkPad X395,,AMD64 Family 23 Model 24 Stepping 1,2022-10-20 10:14,:bfalley:gvalentine:Public:scrockett:
